[0.221s] Invoking command in '/home/ubantuu/robot_arm_ws/build/robot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ubantuu/robot_arm_ws/install/robot_ctrl_py:/opt/ros/humble /usr/bin/cmake --build /home/ubantuu/robot_arm_ws/build/robot_description -- -j12 -l12
[0.304s] Invoked command in '/home/ubantuu/robot_arm_ws/build/robot_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ubantuu/robot_arm_ws/install/robot_ctrl_py:/opt/ros/humble /usr/bin/cmake --build /home/ubantuu/robot_arm_ws/build/robot_description -- -j12 -l12
[0.326s] Invoking command in '/home/ubantuu/robot_arm_ws/build/robot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ubantuu/robot_arm_ws/install/robot_ctrl_py:/opt/ros/humble /usr/bin/cmake --install /home/ubantuu/robot_arm_ws/build/robot_description
[0.332s] -- Install configuration: ""
[0.333s] -- Execute custom install script
[0.334s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/meshes/base_plate.STL
[0.334s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/meshes/basement.STL
[0.334s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/meshes/claw_support.STL
[0.335s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/meshes/forward_drive_arm.STL
[0.335s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/meshes/horizontal_arm.STL
[0.335s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/meshes/left_finger.STL
[0.336s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/meshes/link.STL
[0.336s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/meshes/plate.STL
[0.336s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/meshes/right_finger.STL
[0.337s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/meshes/round_plate.STL
[0.337s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/meshes/servo_plate.STL
[0.337s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/meshes/triangular_link.STL
[0.338s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/meshes/vertical_drive_arm.STL
[0.338s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/urdf/robot.urdf.xacro
[0.338s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/ament_index/resource_index/package_run_dependencies/robot_description
[0.339s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/ament_index/resource_index/parent_prefix_path/robot_description
[0.339s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/environment/ament_prefix_path.sh
[0.340s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/environment/ament_prefix_path.dsv
[0.340s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/environment/path.sh
[0.340s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/environment/path.dsv
[0.341s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/local_setup.bash
[0.341s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/local_setup.sh
[0.342s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/local_setup.zsh
[0.342s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/local_setup.dsv
[0.342s] -- Symlinking: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/package.dsv
[0.352s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/ament_index/resource_index/packages/robot_description
[0.352s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/cmake/robot_descriptionConfig.cmake
[0.352s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/cmake/robot_descriptionConfig-version.cmake
[0.353s] -- Up-to-date symlink: /home/ubantuu/robot_arm_ws/install/robot_description/share/robot_description/package.xml
[0.355s] Invoked command in '/home/ubantuu/robot_arm_ws/build/robot_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/ubantuu/robot_arm_ws/install/robot_ctrl_py:/opt/ros/humble /usr/bin/cmake --install /home/ubantuu/robot_arm_ws/build/robot_description
